UNQ_ALIAS,QUERY_TEXT
1590a341e60bd45d0166aadb0e4fec647003cb6c27493549aad710f55203a95e,"/* cppi::1590a341e60bd45d0166aadb0e4fec647003cb6c27493549aad710f55203a95e */
SELECT
	client_ip,
	MAX_BY(counter, counter) as max_counter_per_min
 FROM (
	WITH logs_with_concat_data AS (
		SELECT
			httprequest.clientip as client_ip,
			from_unixtime(timestamp/1000) as datetime
		FROM
			publicinboundwafprod_yn4b94.waf_access_logs
		WHERE year = 2025
		AND month = 06
		AND day = 01
		AND hour between 02 and 03
	)
	SELECT
		client_ip,
		COUNT(*) as counter
	FROM
		logs_with_concat_data
	WHERE
		datetime > TIMESTAMP '2025-06-01 02:03:00'
	GROUP BY
		client_ip,
		date_trunc('minute', datetime)
	HAVING
		COUNT(*) >= 10000.0
) GROUP BY
	client_ip
ORDER BY
	max_counter_per_min DESC
LIMIT 10000"
7e6d3d06ca6f15dec56f7b581d4a8dd93be537ee584b6ed9498471464ec816a1,"/* cppi::7e6d3d06ca6f15dec56f7b581d4a8dd93be537ee584b6ed9498471464ec816a1 */
SELECT CONCAT(heading, chr(10), section_text) AS FileContent
        FROM party.cppib_party_filings_quarter_capiq
        WHERE filing_id = 241047524
        ORDER BY chunk_order_number"
13caf0a97856d4b2f7517f05537e56cc6c59e5dc10cfb3bf3ab7dfde5a225573,"/* cppi::13caf0a97856d4b2f7517f05537e56cc6c59e5dc10cfb3bf3ab7dfde5a225573 */
SELECT CONCAT(heading, chr(10), section_text) AS FileContent
        FROM party.cppib_party_filings_quarter_capiq
        WHERE filing_id = 240918962
        ORDER BY chunk_order_number"
3fe6625147257d8b776e77c7ef56efae619df0d039483acc9181110a3cf2d091,"/* cppi::3fe6625147257d8b776e77c7ef56efae619df0d039483acc9181110a3cf2d091 */
SELECT CONCAT(heading, chr(10), section_text) AS FileContent
        FROM party.cppib_party_filings_quarter_capiq
        WHERE filing_id = 241218294
        ORDER BY chunk_order_number"
4b203b510df33d0e732ff5b3bdf02eb019fd4f2d1d29e6c5c6fd411074ba3414,"/* cppi::4b203b510df33d0e732ff5b3bdf02eb019fd4f2d1d29e6c5c6fd411074ba3414 */
SELECT CONCAT(heading, chr(10), section_text) AS FileContent
        FROM party.cppib_party_filings_quarter_capiq
        WHERE filing_id = 241356670
        ORDER BY chunk_order_number"
c49b8c68ef73e34685a07aa589d1bcfb67258fc7ad58b732f2fafe4d92db52a0,"/* cppi::c49b8c68ef73e34685a07aa589d1bcfb67258fc7ad58b732f2fafe4d92db52a0 */
SELECT CONCAT(heading, chr(10), section_text) AS FileContent
        FROM party.cppib_party_filings_quarter_capiq
        WHERE filing_id = 241429283
        ORDER BY chunk_order_number"
e9bfcb44ef67fb67acbf34f5f37df655b106bd8b53d586b7a1b8ed4bb61a6f3a,"/* cppi::e9bfcb44ef67fb67acbf34f5f37df655b106bd8b53d586b7a1b8ed4bb61a6f3a */
SELECT CONCAT(heading, chr(10), section_text) AS FileContent
        FROM party.cppib_party_filings_quarter_capiq
        WHERE filing_id = 241330089
        ORDER BY chunk_order_number"
68f89be1ab2e958c73263ee3c55f80d63ab8b232b31b66621c3dd07a879458e3,"/* cppi::68f89be1ab2e958c73263ee3c55f80d63ab8b232b31b66621c3dd07a879458e3 */
SELECT CONCAT(heading, chr(10), section_text) AS FileContent
        FROM party.cppib_party_filings_quarter_capiq
        WHERE filing_id = 241411864
        ORDER BY chunk_order_number"
4681f9f566ac0185f620892b21d5314056d313be7d6e7c036a49d4daaebb1dca,"/* cppi::4681f9f566ac0185f620892b21d5314056d313be7d6e7c036a49d4daaebb1dca */
SELECT CONCAT(heading, chr(10), section_text) AS FileContent
        FROM party.cppib_party_filings_quarter_capiq
        WHERE filing_id = 241440754
        ORDER BY chunk_order_number"
b00288d96985c229fca8c161b51c8ed590beb57011f4dd4677d88fd34e76e79c,"/* cppi::b00288d96985c229fca8c161b51c8ed590beb57011f4dd4677d88fd34e76e79c */
SELECT CONCAT(heading, chr(10), section_text) AS FileContent
        FROM party.cppib_party_filings_quarter_capiq
        WHERE filing_id = 241354330
        ORDER BY chunk_order_number"
148b2c23433cf5aeb2383a464eb1d8b5b60bf770b01548d23367e9fd2faf78dc,"/* cppi::148b2c23433cf5aeb2383a464eb1d8b5b60bf770b01548d23367e9fd2faf78dc */
select * from market.cppib_market_exchange_rate_cad where year_month = '202506'"
3b74e64678162675e5d31a71dd03e8193997278ec1a92fdf438b48795009ad15,"/* cppi::3b74e64678162675e5d31a71dd03e8193997278ec1a92fdf438b48795009ad15 */
SELECT CONCAT(heading, chr(10), section_text) AS FileContent
        FROM party.cppib_party_filings_quarter_capiq
        WHERE filing_id = 241114470
        ORDER BY chunk_order_number"
622230619accf4a17e434cf97ef0889926b6d5bde54a0c7524766df48ad4f760,"/* cppi::622230619accf4a17e434cf97ef0889926b6d5bde54a0c7524766df48ad4f760 */
SELECT
	client_ip,
	MAX_BY(counter, counter) as max_counter_per_min
 FROM (
	WITH logs_with_concat_data AS (
		SELECT
			httprequest.clientip as client_ip,
			from_unixtime(timestamp/1000) as datetime
		FROM
			publicinboundwafnonprod_azf8db.waf_access_logs
		WHERE year = 2025
		AND month = 06
		AND day = 01
		AND hour between 22 and 23
	)
	SELECT
		client_ip,
		COUNT(*) as counter
	FROM
		logs_with_concat_data
	WHERE
		datetime > TIMESTAMP '2025-06-01 22:36:58'
	GROUP BY
		client_ip,
		date_trunc('minute', datetime)
	HAVING
		COUNT(*) >= 10000.0
) GROUP BY
	client_ip
ORDER BY
	max_counter_per_min DESC
LIMIT 10000"
0e6d937321eb46ab59103ebac14fb5c7a02313741fd6371b726ef67296bf7634,"/* cppi::0e6d937321eb46ab59103ebac14fb5c7a02313741fd6371b726ef67296bf7634 */
select  feed_name,feed_version,arrival_time,accrued_interest, bid_spread, yield_local, macaulay_duration, average_life, last_value_ndo, joiner_leaver_flag, maturity_date, convexity_isma, notional_value_outstanding_local, price_return_daily_local, modified_duration, market_capitalization_base_ndo, market_value_bom, prepay_return_daily_local, market_value_returns_bonds, adjusted_modified_duration, coupon, id_cusip_eod, notional_value_outstanding, first_coupon_date, last_value_eod, shares_outstanding_ndo, modified_duration_local, id_cusip_ndo, paydown_return_daily_local, stale_feed_flag, index_inclusion_factor, business_date, yield, effective_convexity, convexity, cash, id_cppib_index, convexity_local, weight_eod, fx_rate, shares_outstanding_eod, currency_return_daily_local, weight_ndo, id_isin_ndo, id_isin_eod, market_capitalization_base_eod, id_vendor_security_eod, yield_to_maturity, coupon_frequency, coupon_return_daily_local, return_daily_local, modified_duration_isma, yield_isma, id_vendor_security_ndo, maturity_bands, dated_date 
                from market.cppib_index_constituent as a 
                where  feed_name in ('lbfi_cons_std_1656_tr_usd_0_0') 
                and business_date>=cast('2025-05-27' as date) and business_date<=cast('2025-06-01' as date)"
601d430a35c26b2b72edd3b7aace3649e420203b180c5cfe20029d78999f1147,"/* cppi::601d430a35c26b2b72edd3b7aace3649e420203b180c5cfe20029d78999f1147 */
SELECT pricing_date, security_id as cppib_sec_id, daily_return
FROM market.cppib_market_equity_prices
WHERE pricing_date > DATE_ADD('year', -1, date'2022-06-27') and pricing_date <= date'2025-06-01'
AND pricing_date >= date'2022-04-01'
AND is_suspended_flag = 0 AND is_exchange_holiday = 0
and security_id in (9852, 4484, 9345, 4477, 221747, 7290, 26388302, 9623, 200, 1649, 11833, 8790, 220212, 1461, 2614005, 19541873, 8263, 4488, 2672, 11465, 1561, 218680, 2678, 13323796, 2738, 24863485, 21332411, 8588, 1274, 564557, 4378, 4521, 10701, 4428, 11884, 1284, 4496, 8178, 1318, 1573, 1306, 1312, 6749, 4457, 8253, 570943, 6804, 133, 8960, 24889916, 2732, 19858887, 7936, 5015, 6225, 6653, 180, 8288, 8839, 8711, 11853836, 4509, 11000, 9063, 185274, 211242, 16585440, 4427, 1055, 12215, 13179, 10823, 945, 19582832, 1261, 28906363, 1114, 4507, 6723, 21757790, 13383066, 295, 1554, 1314, 44760, 9893, 1501, 4511, 18780608, 10608, 11505, 23596, 12977, 4325, 9560, 8677, 17461657, 4485, 25761190, 8788, 1422, 7500, 9271, 4388, 1405, 13274, 16462895, 504773, 2692, 45553, 1202, 25132665, 2675, 12970, 1053, 1333, 85686, 11503, 11607, 13241604)"
8c81943c2f5671b3e4bd3f7ee00d1c51410090e01052d6e2e137a20a9e1d3007,"/* cppi::8c81943c2f5671b3e4bd3f7ee00d1c51410090e01052d6e2e137a20a9e1d3007 */
Select 
'CAD' as ""Base Currency"", 
1/exchange_rate as ""FX Spot Rate"",
currency as ""Local Currency"",
'End of Day Rate - Final Run' as Time,
data_date as ToDate
from market.cppib_market_exchange_rate_cad
where vendor = 'wm'
limit 10"
b40679d08fe4ba9b22d39ea2a16e3b43ebfd0547081f7bcc54886620a058b629,"/* cppi::b40679d08fe4ba9b22d39ea2a16e3b43ebfd0547081f7bcc54886620a058b629 */
SELECT
	client_ip,
	MAX_BY(counter, counter) as max_counter_per_min
 FROM (
	WITH logs_with_concat_data AS (
		SELECT
			client_ip,
			target_status_code AS status,
			parse_datetime(time, 'yyyy-MM-dd''T''HH:mm:ss.SSSSSS''Z') AS datetime
		FROM
			publicinboundwafnonprod_azf8db.app_access_logs
		WHERE year = 2025
		AND month = 06
		AND day = 01
		AND hour between 21 and 22
	)
	SELECT
		client_ip,
		COUNT(*) as counter
	FROM
		logs_with_concat_data
	WHERE
		datetime > TIMESTAMP '2025-06-01 21:41:23'
		AND status = ANY (VALUES '400', '401', '403', '404', '405')
	GROUP BY
		client_ip,
		date_trunc('minute', datetime)
	HAVING
		COUNT(*) >= 500
) GROUP BY
	client_ip
ORDER BY
	max_counter_per_min DESC
LIMIT 10000"
5b3f47693fdea068951f9c7fb5570a5834113a7e295adda6465145d023164574,"/* cppi::5b3f47693fdea068951f9c7fb5570a5834113a7e295adda6465145d023164574 */
SELECT
	client_ip,
	MAX_BY(counter, counter) as max_counter_per_min
 FROM (
	WITH logs_with_concat_data AS (
		SELECT
			httprequest.clientip as client_ip,
			from_unixtime(timestamp/1000) as datetime
		FROM
			publicinboundwafnonprod_azf8db.waf_access_logs
		WHERE year = 2025
		AND month = 06
		AND day = 01
		AND hour between 21 and 22
	)
	SELECT
		client_ip,
		COUNT(*) as counter
	FROM
		logs_with_concat_data
	WHERE
		datetime > TIMESTAMP '2025-06-01 21:41:58'
	GROUP BY
		client_ip,
		date_trunc('minute', datetime)
	HAVING
		COUNT(*) >= 10000.0
) GROUP BY
	client_ip
ORDER BY
	max_counter_per_min DESC
LIMIT 10000"
60c135837ced1d3382b9513af271f769a2d9e326cd1989a51bbdcdaf3dc2510c,"/* cppi::60c135837ced1d3382b9513af271f769a2d9e326cd1989a51bbdcdaf3dc2510c */
SELECT CONCAT(heading, chr(10), section_text) AS FileContent
        FROM party.cppib_party_filings_quarter_capiq
        WHERE filing_id = 241050691
        ORDER BY chunk_order_number"
d26b284f4f704a024d2cc5486875cd033cc31d7d185f48f53e4e73c5952386de,"/* cppi::d26b284f4f704a024d2cc5486875cd033cc31d7d185f48f53e4e73c5952386de */
SELECT CONCAT(heading, chr(10), section_text) AS FileContent
        FROM party.cppib_party_filings_quarter_capiq
        WHERE filing_id = 241049149
        ORDER BY chunk_order_number"
5e89def2378680f4a6288a897bf7cbe8c9b901035a4ecaa78abbba538d9fcdae,"/* cppi::5e89def2378680f4a6288a897bf7cbe8c9b901035a4ecaa78abbba538d9fcdae */
select * from dim_chron where business_date='2025-05-28'  and canonical_source='1'"
0703e8434d42ff28d9317a5f60423704a8fb6585db6d3bec144c7c84f916348e,"/* cppi::0703e8434d42ff28d9317a5f60423704a8fb6585db6d3bec144c7c84f916348e */
-- Athena JDBC driver connection test
SELECT 1"
c47a05218dc615522d710acb1c440400fbd1217e083953de607e6f41f11ae542,"/* cppi::c47a05218dc615522d710acb1c440400fbd1217e083953de607e6f41f11ae542 */
select * from df_enriched_prod.idm_api_timeseries_meta where feed_name = 'tds.index' and api_item_name in ('MSDY') and (entity_id_1 in ('MSBRAZ$','MSCHIN$','MSFRNC$','MSGERM$','MSINDI$','MSITAL$','MSNETH$','MSSARF$','MSSPAN$','MSTAIW$','MSTURK$'))"
